,driverId,raceId,age,position,pct_laps_comp,points,grid
0,1,18,23.202739726027396,1.0,100.0,10.0,1
1,2,18,30.87123287671233,2.0,100.0,8.0,5
2,3,18,22.734246575342464,3.0,100.0,6.0,7
3,4,18,26.649315068493152,4.0,100.0,5.0,11
4,5,18,26.424657534246574,5.0,100.0,4.0,3
5,6,18,23.19178082191781,6.0,98.27586206896551,3.0,13
6,7,18,29.065753424657533,7.0,94.82758620689656,2.0,17
7,8,18,28.432876712328767,8.0,91.37931034482759,1.0,15
22,8,19,28.45205479452055,1.0,100.0,10.0,2
23,9,19,23.306849315068494,2.0,100.0,8.0,4
24,5,19,26.443835616438356,3.0,100.0,6.0,8
25,15,19,33.71780821917808,4.0,100.0,5.0,3
26,1,19,23.221917808219178,5.0,100.0,4.0,9
27,2,19,30.89041095890411,6.0,100.0,3.0,5
28,17,19,31.59178082191781,7.0,100.0,2.0,6
29,4,19,26.66849315068493,8.0,100.0,1.0,7
30,14,19,37.016438356164386,9.0,100.0,0.0,12
31,18,19,28.194520547945206,10.0,100.0,0.0,11
32,12,19,22.676712328767124,11.0,100.0,0.0,13
33,21,19,35.21095890410959,12.0,98.21428571428571,0.0,17
34,22,19,35.85753424657534,13.0,98.21428571428571,0.0,14
35,3,19,22.753424657534246,14.0,98.21428571428571,0.0,16
36,19,19,28.95068493150685,15.0,98.21428571428571,0.0,21
37,11,19,31.16986301369863,16.0,96.42857142857143,0.0,19
38,6,19,23.21095890410959,17.0,96.42857142857143,0.0,22
44,13,20,26.96712328767123,1.0,100.0,10.0,2
45,8,20,28.49041095890411,2.0,100.0,8.0,4
46,9,20,23.345205479452055,3.0,100.0,6.0,1
47,2,20,30.92876712328767,4.0,100.0,5.0,6
48,5,20,26.482191780821918,5.0,100.0,4.0,5
49,15,20,33.75616438356165,6.0,100.0,3.0,7
50,17,20,31.63013698630137,7.0,100.0,2.0,11
51,3,20,22.791780821917808,8.0,100.0,1.0,8
52,10,20,26.07123287671233,9.0,100.0,0.0,13
53,4,20,26.706849315068492,10.0,100.0,0.0,10
54,22,20,35.895890410958906,11.0,100.0,0.0,12
